"","Var1","Freq"
"1","_age",0.00107034500519077
"2","_Age",0.00157896007532654
"3","_BussinessAddress",0.000840180590540725
"4","_byUserId",1.60954136118913e-06
"5","_ByUserId",0.00102527784707748
"6","_CityId",0.0534061919056165
"7","_companyAddress",0.000146468263868211
"8","_CompanyAddress",0.00231291093602878
"9","_companyName",0.000159344594757724
"10","_CompanyName",0.00263642874962779
"11","_companyPhone",0.000175440008369615
"12","_CompanyPhone",0.00328829300090939
"13","_companySizeId",6.43816544475652e-06
"14","_CompanySizeId",0.000257526617790261
"15","_companyTypeId",0.000228554873288856
"16","_CompanyTypeId",0.000769360770648404
"17","_contactId",6.11625717251869e-05
"18","_creationDate",6.11625717251869e-05
"19","_CreationDate",5.95530303639978e-05
"20","_department",0.000234993038733613
"21","_Department",0.00130211896120201
"22","_DistrictId",0.0541063423977338
"23","_dormitoryPhone",4.82862408356739e-06
"24","_DormitoryPhone",6.2772113086376e-05
"25","_educationId",0.00121198464497541
"26","_EducationId",0.0744461165790808
"27","_flag_UCtoBcp",0.0021905857925784
"28","_flag_UCtoBCP",6.11625717251869e-05
"29","_flag_UCtoPVR",0.00191857330253744
"30","_gender",0.00103815417796699
"31","_Gender",0.000732341319341054
"32","_GraduateDate",4.82862408356739e-06
"33","_GraduateSchool",4.82862408356739e-06
"34","_HasBusinessLicense",0.000638987920392084
"35","_hasBuyCar",0.00126027088581109
"36","_HasBuyCar",0.0741934185853741
"37","_HasPPDaiAccount",1.60954136118913e-06
"38","_HasSbOrGjj",0.00025913615915145
"39","_IdAddress",4.82862408356739e-06
"40","_idNumber",0.00127797584078417
"41","_IdNumber",0.0180654922379868
"42","_incomeFrom",8.04770680594565e-06
"43","_IncomeFrom",0.000574606265944519
"44","_isCash",8.53056921430238e-05
"45","_IsCash",0.00152262612768492
"46","_lastUpdateDate",0.00355064824278322
"47","_LastUpdateDate",0.0592150266781481
"48","_marriageStatusId",0.00119588923136352
"49","_MarriageStatusId",0.0736332981916803
"50","_mobilePhone",0.00407857780925325
"51","_MobilePhone",0.0763019177685319
"52","_nickName",1.60954136118913e-06
"53","_NickName",7.88675266982673e-05
"54","_orderId",3.05812858625935e-05
"55","_OtherWebShopType",3.21908272237826e-06
"56","_phone",0.00012876330889513
"57","_Phone",0.00993247973989812
"58","_PhoneType",1.60954136118913e-06
"59","_Position",0.000468376536106037
"60","_PPDaiAccount",1.60954136118913e-06
"61","_ProvinceId",0.0530762359265727
"62","_qQ",0.000972162982158234
"63","_QQ",0.071690581768725
"64","_realName",0.00153711199993562
"65","_RealName",0.0264174023611972
"66","_regStepId",0.0027539252689946
"67","_relationshipId",0.000101401105754915
"68","_RelationshipId",0.00566075696730217
"69","_residenceAddress",0.00128924263031249
"70","_ResidenceAddress",0.0704753780410272
"71","_residencePhone",0.00134557657795411
"72","_ResidencePhone",0.0752605445078425
"73","_residenceTypeId",0.0012586613444499
"74","_ResidenceTypeId",0.074830796964405
"75","_residenceYears",0.00139547236015098
"76","_ResidenceYears",0.0748388446712109
"77","_schoolName",3.21908272237826e-06
"78","_SchoolName",4.9895782196863e-05
"79","_SecondEmail",1.60954136118913e-06
"80","_SecondMobile",1.60954136118913e-06
"81","_turnover",0.00356352457367273
"82","_userId",6.11625717251869e-05
"83","_WebShopTypeId",2.73622031402152e-05
"84","_webShopUrl",2.73622031402152e-05
"85","_WebShopUrl",7.56484439758891e-05
"86","_workYears",0.000125544226172752
"87","_WorkYears",0.00123934684811563
